id,time,Location,Unit,Sub Unit,reporting_category,reporting_category_2,Class,Stage,Stone Family,book_value,stock_value,Devaluation
33,Aug-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Sample Stone Store,Quartz,945.58,53.36292428,892.2170757
34,Aug-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Quartz,60251.87,11557.67059,48694.19941
35,Aug-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Beryl,1969.33,159.0266773,1810.303323
36,Aug-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Beryl,59941.84,36674.24716,23267.59284
37,Aug-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Opal,113347.57,26694.5497,86653.0203
38,Aug-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,596.4,596.4,0
39,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,7965.82,7965.820798,-0.000798
40,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Quartz,0.69,0.69258,-0.00258
41,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,13589.77,13589.772,-0.002
42,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Feldspar,5958.97,5958.9702,-0.0002
43,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,86241.6,75303.14126,10938.45874
44,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Garnet,6230.1,6230.097,0.003
45,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Sample Stone Store,Iolite,1747.16,152.5626518,1594.597348
46,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Iolite,49347.12,17674.30493,31672.81507
47,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Sample Stone Store,Spodumen,3626.24,3538.39,87.85
48,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,137175.31,101480.0965,35695.21348
49,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Lapis Lazuli,48591.05,12577.664,36013.386
50,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Sample Stone Store,Lapis Lazuli,5049.65,919.424,4130.226
